------------------------------------------------------------------------------
File Creation Date/Time: 22 mars 2023 13:03:00
Block Name: AttEuler1 (SBF)

Sync1,Sync2,CRC,ID,BlockNumber,Revision,Length [B],TOW [s],WNc [w],TOWc [s],NrSV,Error,Error Aux Antenna 1,Error Aux Antenna 2,Attitude not requested,Mode,Reserved,Heading [°],Pitch [°],Roll [°],PitchDot [°/s],RollDot [°/s],HeadingDot [°/s]
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
$,@,55076,5938,5938,0,44,294676.000,2254,294676.000,28,0,No Error,No Error,0,Heading Pitch Fixed,0,250.679840,-0.366902,,0.012,,-0.067
$,@,45664,5938,5938,0,44,294677.000,2254,294677.000,28,0,No Error,No Error,0,Heading Pitch Fixed,0,250.681534,-0.355942,,0.006,,-0.064
$,@,48266,5938,5938,0,44,294678.000,2254,294678.000,28,0,No Error,No Error,0,Heading Pitch Fixed,0,250.683243,-0.354256,,-0.001,,-0.012
$,@,28236,5938,5938,0,44,294679.000,2254,294679.000,28,0,No Error,No Error,0,Heading Pitch Fixed,0,250.674652,-0.356512,,-0.005,,-0.021
$,@,62597,5938,5938,0,44,294680.000,2254,294680.000,28,0,No Error,No Error,0,Heading Pitch Fixed,0,250.664581,-0.352841,,-0.009,,-0.089
$,@,19224,5938,5938,0,44,294681.000,2254,294681.000,28,0,No Error,No Error,0,Heading Pitch Fixed,0,250.674789,-0.354135,,0.015,,-0.006
$,@,60280,5938,5938,0,44,294682.000,2254,294682.000,28,0,No Error,No Error,0,Heading Pitch Fixed,0,250.683319,-0.356117,,-0.007,,-0.021
$,@,54526,5938,5938,0,44,294683.000,2254,294683.000,28,0,No Error,No Error,0,Heading Pitch Fixed,0,250.674454,-0.351730,,0.010,,-0.064
$,@,24996,5938,5938,0,44,294684.000,2254,294684.000,28,0,No Error,No Error,0,Heading Pitch Fixed,0,250.691544,-0.359101,,0.024,,0.000
$,@,58180,5938,5938,0,44,294685.000,2254,294685.000,28,0,No Error,No Error,0,Heading Pitch Fixed,0,250.685272,-0.371763,,-0.015,,-0.068
$,@,25251,5938,5938,0,44,294686.000,2254,294686.000,28,0,No Error,No Error,0,Heading Pitch Fixed,0,250.675354,-0.367464,,0.003,,-0.045
$,@,3225,5938,5938,0,44,294687.000,2254,294687.000,28,0,No Error,No Error,0,Heading Pitch Fixed,0,250.694687,-0.354159,,0.048,,0.011
$,@,23038,5938,5938,0,44,294688.000,2254,294688.000,28,0,No Error,No Error,0,Heading Pitch Fixed,0,250.687576,-0.367008,,-0.014,,0.134
$,@,29646,5938,5938,0,44,294689.000,2254,294689.000,28,0,No Error,No Error,0,Heading Pitch Fixed,0,250.683746,-0.356826,,0.045,,0.076
$,@,27030,5938,5938,0,44,294690.000,2254,294690.000,28,0,No Error,No Error,0,Heading Pitch Fixed,0,250.680679,-0.357917,,0.022,,-0.039
$,@,7079,5938,5938,0,44,294691.000,2254,294691.000,28,0,No Error,No Error,0,Heading Pitch Fixed,0,250.671875,-0.362216,,-0.016,,0.050
$,@,5801,5938,5938,0,44,294692.000,2254,294692.000,28,0,No Error,No Error,0,Heading Pitch Fixed,0,250.677521,-0.358642,,-0.018,,-0.050
$,@,9642,5938,5938,0,44,294693.000,2254,294693.000,28,0,No Error,No Error,0,Heading Pitch Fixed,0,250.672760,-0.360855,,0.015,,0.011
$,@,27280,5938,5938,0,44,294694.000,2254,294694.000,28,0,No Error,No Error,0,Heading Pitch Fixed,0,250.690598,-0.352496,,0.010,,0.025
$,@,44450,5938,5938,0,44,294695.000,2254,294695.000,28,0,No Error,No Error,0,Heading Pitch Fixed,0,250.676743,-0.352822,,0.000,,0.105
$,@,28231,5938,5938,0,44,294696.000,2254,294696.000,28,0,No Error,No Error,0,Heading Pitch Fixed,0,250.678955,-0.350755,,-0.016,,0.107
$,@,35058,5938,5938,0,44,294697.000,2254,294697.000,28,0,No Error,No Error,0,Heading Pitch Fixed,0,250.669876,-0.363672,,-0.007,,0.034
$,@,44702,5938,5938,0,44,294698.000,2254,294698.000,28,0,No Error,No Error,0,Heading Pitch Fixed,0,250.678909,-0.349396,,-0.046,,0.007
$,@,836,5938,5938,0,44,294699.000,2254,294699.000,28,0,No Error,No Error,0,Heading Pitch Fixed,0,250.684265,-0.352644,,-0.004,,0.083
$,@,6892,5938,5938,0,44,294700.000,2254,294700.000,28,0,No Error,No Error,0,Heading Pitch Fixed,0,250.667755,-0.363865,,-0.032,,0.006
$,@,24696,5938,5938,0,44,294701.000,2254,294701.000,28,0,No Error,No Error,0,Heading Pitch Fixed,0,250.677444,-0.375009,,-0.008,,-0.004
$,@,55976,5938,5938,0,44,294702.000,2254,294702.000,28,0,No Error,No Error,0,Heading Pitch Fixed,0,250.670792,-0.365188,,0.018,,-0.040
$,@,26714,5938,5938,0,44,294703.000,2254,294703.000,28,0,No Error,No Error,0,Heading Pitch Fixed,0,250.674545,-0.361820,,0.023,,0.067
$,@,44723,5938,5938,0,44,294704.000,2254,294704.000,28,0,No Error,No Error,0,Heading Pitch Fixed,0,250.680267,-0.374655,,-0.034,,0.064
$,@,59059,5938,5938,0,44,294705.000,2254,294705.000,28,0,No Error,No Error,0,Heading Pitch Fixed,0,250.663803,-0.374509,,-0.046,,-0.047
$,@,5439,5938,5938,0,44,294706.000,2254,294706.000,28,0,No Error,No Error,0,Heading Pitch Fixed,0,250.684998,-0.373807,,-0.037,,0.141
$,@,47272,5938,5938,0,44,294707.000,2254,294707.000,28,0,No Error,No Error,0,Heading Pitch Fixed,0,250.659073,-0.373477,,0.041,,-0.105
