------------------------------------------------------------------------------
File Creation Date/Time: 22 mars 2023 13:03:00
Block Name: AuxAntPositions1 (SBF)

Sync1,Sync2,CRC,ID,BlockNumber,Revision,Length [B],TOW [s],WNc [w],TOWc [s],N,SBLength [B],NrSV,Error,AmbiguityType,AuxAntID,DeltaEast [m],DeltaNorth [m],DeltaUp [m],EastVel [m/s],NorthVel [m/s],UpVel [m/s]
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
$,@,14085,5942,5942,0,68,294676.000,2254,294676.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.435,-0.047,0.009,-0.006,0.002
$,@,47231,5942,5942,0,68,294677.000,2254,294677.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.435,-0.046,0.009,-0.006,0.001
$,@,6734,5942,5942,0,68,294678.000,2254,294678.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.435,-0.046,0.003,-0.001,-0.000
$,@,22000,5942,5942,0,68,294679.000,2254,294679.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.436,-0.046,0.006,-0.001,-0.001
$,@,990,5942,5942,0,68,294680.000,2254,294680.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.437,-0.045,0.005,-0.010,-0.001
$,@,36564,5942,5942,0,68,294681.000,2254,294681.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.436,-0.045,-0.004,-0.002,0.002
$,@,60569,5942,5942,0,68,294682.000,2254,294682.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.435,-0.046,0.002,-0.002,-0.001
$,@,41942,5942,5942,0,68,294683.000,2254,294683.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.946,-2.436,-0.045,-0.001,-0.009,0.001
$,@,9356,5942,5942,0,68,294684.000,2254,294684.000,1,52,28,No Error,Fixed Ambiguities,Aux1,-6.947,-2.434,-0.046,0.004,0.002,0.003
